[2025-03-05 09:07:03.997] [INFO] Initializing DOOM.rb
[2025-03-05 09:07:03.997] [INFO] Game initialized successfully
[2025-03-05 09:07:03.998] [INFO] Starting game loop
[2025-03-05 09:07:04.332] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.354] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.370] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.387] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.404] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.420] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.437] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.454] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.471] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.488] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.504] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.521] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.538] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.555] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.572] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.589] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.606] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.622] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.638] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.655] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.672] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.689] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.705] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.721] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.738] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.755] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.772] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.789] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.805] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.822] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.839] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.856] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.873] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.889] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.907] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.922] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.939] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.954] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.971] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:05.989] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.005] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.021] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.039] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.055] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.073] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.089] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.105] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.122] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.139] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.155] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.172] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.189] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.206] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.223] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.239] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.256] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.273] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.290] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.307] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.324] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.341] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.358] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.375] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.392] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.410] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.426] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.443] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.460] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.477] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.494] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.511] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.529] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.544] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.561] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.578] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.594] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.612] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.633] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.645] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.662] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.679] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.696] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.713] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.730] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.746] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.763] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.779] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.796] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.814] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.832] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.848] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.865] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.882] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.899] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.916] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.933] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.950] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.966] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.982] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:06.999] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.016] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.032] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.048] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.065] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.081] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.098] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.115] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.132] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.149] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.166] [DEBUG] Player position: Vector[2.0, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.195] [DEBUG] Player position: Vector[2.145, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.199] [DEBUG] Player position: Vector[2.165, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.216] [DEBUG] Player position: Vector[2.25, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.233] [DEBUG] Player position: Vector[2.335, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.250] [DEBUG] Player position: Vector[2.42, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.267] [DEBUG] Player position: Vector[2.505, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.285] [DEBUG] Player position: Vector[2.5949999999999998, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.300] [DEBUG] Player position: Vector[2.67, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.317] [DEBUG] Player position: Vector[2.755, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.334] [DEBUG] Player position: Vector[2.84, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.351] [DEBUG] Player position: Vector[2.925, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.368] [DEBUG] Player position: Vector[3.01, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.385] [DEBUG] Player position: Vector[3.0949999999999998, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.402] [DEBUG] Player position: Vector[3.1799999999999997, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.418] [DEBUG] Player position: Vector[3.26, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.436] [DEBUG] Player position: Vector[3.3449999999999998, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.452] [DEBUG] Player position: Vector[3.4299999999999997, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.468] [DEBUG] Player position: Vector[3.51, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.486] [DEBUG] Player position: Vector[3.5999999999999996, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.502] [DEBUG] Player position: Vector[3.6799999999999997, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.517] [DEBUG] Player position: Vector[3.755, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.534] [DEBUG] Player position: Vector[3.84, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.551] [DEBUG] Player position: Vector[3.925, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.568] [DEBUG] Player position: Vector[4.01, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.586] [DEBUG] Player position: Vector[4.1, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.603] [DEBUG] Player position: Vector[4.185, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.620] [DEBUG] Player position: Vector[4.27, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.637] [DEBUG] Player position: Vector[4.3549999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.653] [DEBUG] Player position: Vector[4.435, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.670] [DEBUG] Player position: Vector[4.515, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.687] [DEBUG] Player position: Vector[4.6049999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.703] [DEBUG] Player position: Vector[4.685, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.719] [DEBUG] Player position: Vector[4.765, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.736] [DEBUG] Player position: Vector[4.85, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.754] [DEBUG] Player position: Vector[4.9399999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.770] [DEBUG] Player position: Vector[5.02, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.787] [DEBUG] Player position: Vector[5.1049999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.804] [DEBUG] Player position: Vector[5.1899999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.821] [DEBUG] Player position: Vector[5.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.839] [DEBUG] Player position: Vector[5.364999999999999, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.855] [DEBUG] Player position: Vector[5.444999999999999, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.872] [DEBUG] Player position: Vector[5.529999999999999, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.888] [DEBUG] Player position: Vector[5.609999999999999, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.904] [DEBUG] Player position: Vector[5.6899999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.921] [DEBUG] Player position: Vector[5.7749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.937] [DEBUG] Player position: Vector[5.8549999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.954] [DEBUG] Player position: Vector[5.9399999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.971] [DEBUG] Player position: Vector[6.0249999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:07.987] [DEBUG] Player position: Vector[6.1049999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.004] [DEBUG] Player position: Vector[6.1899999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.021] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.039] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.055] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.072] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.089] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.106] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.123] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.140] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.157] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.173] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.190] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.207] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[1.0, 0.0]
[2025-03-05 09:07:08.249] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9920724964179307, 0.12566686854972925]
[2025-03-05 09:07:08.257] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9887710779360422, 0.14943813247359922]
[2025-03-05 09:07:08.274] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9798674185103099, 0.19964929787490093]
[2025-03-05 09:07:08.291] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.96841567629781, 0.24934128799830768]
[2025-03-05 09:07:08.308] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9544456308244854, 0.29838488198977153]
[2025-03-05 09:07:08.325] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9379936103034479, 0.3466525451080712]
[2025-03-05 09:07:08.342] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.9191023971657746, 0.39401876037078043]
[2025-03-05 09:07:08.359] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.8978211168075221, 0.44036035495318304]
[2025-03-05 09:07:08.376] [DEBUG] Player position: Vector[6.2749999999999995, 2.0], direction: Vector[0.8742051098422642, 0.4855568204913554]
